date,E_NF@KAU.Q,UR@KAU.Q,VIS@KAU.Q,VDAY@KAU.Q,PMKRSGF@KAU.Q,KPPRVRSD_R@KAU.Q,ECT@KAU.Q
1972-01-01,9.983573399,,,,,,0.599881403
1972-04-01,10.09554463,,,,,,0.60411975
1972-07-01,10.20950833,,,,,,0.618182242
1972-10-01,10.35221337,,,,,,0.636737607
1973-01-01,10.5864384,,,,,,0.683236954
1973-04-01,10.59409633,,,,,,0.697923862
1973-07-01,10.706865,,,,,,0.713277035
1973-10-01,10.86823655,,,,,,0.732745837
1974-01-01,10.5175334,,,,,,0.849276384
1974-04-01,10.6047404,,,,,,0.852237757
1974-07-01,10.78243702,,,,,,0.874827192
1974-10-01,10.76956271,,,,,,0.87213941
1975-01-01,11.52618546,,,,,,0.911085901
1975-04-01,11.5843555,,,,,,0.889860896
1975-07-01,11.6355763,,,,,,0.858685593
1975-10-01,11.66173545,,,,,,0.810291845
1976-01-01,12.14671364,,,,,,0.842187755
1976-04-01,12.30422808,,,,,,0.813384145
1976-07-01,12.33147987,,,,,,0.785065203
1976-10-01,12.4408804,,,,,,0.790910128
1977-01-01,12.9271119,,,,,,0.709045223
1977-04-01,13.02776354,,,,,,0.70753084
1977-07-01,13.081459,,,,,,0.686307682
1977-10-01,13.13625027,,,,,,0.632797412
1978-01-01,13.34112519,,,,,,0.667307289
1978-04-01,13.56602275,,,,,,0.68582649
1978-07-01,13.80530385,,,,,,0.717465683
1978-10-01,14.02137232,,,,,,0.746606816
1979-01-01,14.14750965,,,,,,0.894882219
1979-04-01,14.23954021,,,,,,0.903999792
1979-07-01,14.38714292,,,,,,0.948650647
1979-10-01,14.36721476,,,,,,0.97587317
1980-01-01,15.10916073,,,,,,1.466007607
1980-04-01,15.16947147,,,,,,1.444834642
1980-07-01,15.13946427,,,,,,1.342732271
1980-10-01,15.21793888,,,,,,1.367248073
1981-01-01,15.27319487,,,,,,1.15516891
1981-04-01,15.25608279,,,,,,1.115288821
1981-07-01,15.22499638,,,,,,1.091083639
1981-10-01,15.19908476,,,,,,1.042299624
1982-01-01,15.18112063,,,,,,0.857241215
1982-04-01,15.16232332,,,,,,0.814494722
1982-07-01,15.1280441,,,,,,0.78181311
1982-10-01,15.13392632,,,,,,0.774394964
1983-01-01,15.60458441,,,,,,1.044417606
1983-04-01,15.57151096,,,,,,1.022817646
1983-07-01,15.85656604,,,,,,1.025719896
1983-10-01,15.91930795,,,,,,1.019986122
1984-01-01,15.62748642,,,,,,0.694949939
1984-04-01,15.75604045,,,,,,0.693917841
1984-07-01,15.72625147,,,,,,0.635847139
1984-10-01,15.85927124,,,,,,0.557274451
1985-01-01,16.4813486,,,,,,0.715688281
1985-04-01,16.5982645,,,,,,0.756210235
1985-07-01,16.84725716,,,,,,0.788319236
1985-10-01,16.94773156,,,,,,0.796736978
1986-01-01,17.67310731,,,,,,0.808115925
1986-04-01,17.7680428,,,,,,0.811406063
1986-07-01,18.00618225,,,,,,0.887048603
1986-10-01,18.2168831,,,,,,0.932450497
1987-01-01,18.96509808,,,,,,0.966466998
1987-04-01,19.22856069,,,,,,0.987434059
1987-07-01,19.3919203,,,,,,0.98812751
1987-10-01,19.66981712,,,,,,0.994379347
1988-01-01,20.68313934,,,,,,0.926920581
1988-04-01,20.91899873,,,,,,0.977639933
1988-07-01,21.13996994,,,,,,1.005005518
1988-10-01,21.37897965,,,,,,1.048225426
1989-01-01,22.70186234,,,,,19.90860335,1.471709813
1989-04-01,23.02091666,,,,,23.61845304,1.571263235
1989-07-01,23.31642717,,,,,32.39889258,1.643876561
1989-10-01,23.72414932,,,,,38.57580546,1.724216079
1990-01-01,23.72581673,4.523560718,302.9757689,,,38.51724891,1.767119438
1990-04-01,24.05584902,4.363502859,311.7728982,,,34.69891892,1.772177986
1990-07-01,24.19527494,3.817889242,309.5758115,,,29.54943474,1.804215457
1990-10-01,24.53933313,3.069603627,304.5250648,,,64.76777778,1.859859485
1991-01-01,25.23451944,3.884305155,270.5093029,,,18.91004057,1.730595293
1991-04-01,25.14839804,4.175040378,305.4337519,,,20.87574207,1.725888325
1991-07-01,25.34513475,4.346070673,316.2321976,,,15.23214649,1.691370558
1991-10-01,25.45100192,4.710433901,290.1510782,,,11.57255298,1.655283802
1992-01-01,24.61400156,6.194685864,272.1058333,1387.235376,,13.05960591,1.710398826
1992-04-01,24.64066189,7.191891908,244.2345628,1089.592013,,28.7134372,1.693760705
1992-07-01,24.64744374,6.740202228,198.3469829,1408.053164,,24.57798254,1.670467335
1992-10-01,24.52119975,19.1568556,167.0429637,1157.664805,,7.572023233,1.72204551
1993-01-01,22.49373882,16.63952117,122.4990426,659.3074974,,19.85794824,2.922554938
1993-04-01,22.56521116,13.33346012,125.5222846,632.8120959,,12.72201915,2.870707559
1993-07-01,22.35865276,11.67153403,151.3381238,764.5343921,,9.198841355,2.799758512
1993-10-01,22.31142229,11.48762652,177.006249,918.7235927,,11.34746835,2.698792562
1994-01-01,22.97943114,14.02536179,208.6777054,1132.058528,251682.6619,24.44054054,1.926043916
1994-04-01,22.94433198,13.60954282,213.0004781,1183.574327,244821.016,37.9226066,1.91587473
1994-07-01,23.01939856,12.54272413,215.1259554,1233.567051,249243.658,11.21011513,1.879265659
1994-10-01,23.07301026,12.07994995,223.914612,1281.478738,241752.6641,22.62761826,1.810115191
1995-01-01,23.66892252,11.68787426,222.4842436,1250.686724,245564.2433,7.497627551,1.634901488
1995-04-01,23.57282253,11.55534892,227.2990353,1289.954512,241764.355,8.77262309,1.596702855
1995-07-01,23.47642313,10.99534889,238.1084503,1331.01478,247648.1365,8.107523246,1.571873743
1995-10-01,23.4228434,11.59595398,241.2583512,1342.342802,243773.2652,14.29351593,1.529855247
1996-01-01,23.315132,12.56800852,241.9017822,1340.775236,219600.0236,11.32977747,1.28418946
1996-04-01,23.2618174,12.18261205,248.6951175,1380.892079,216686.5167,12.65479652,1.264176117
1996-07-01,23.28380779,11.21463933,244.7992295,1385.390543,215135.681,12.45583913,1.240827218
1996-10-01,23.31657453,12.21625803,240.0402161,1374.1596,230577.7787,7.974924145,1.217478319
1997-01-01,23.49131723,12.07352877,248.1227202,1430.249092,237686.8141,10.50507416,1.025740938
1997-04-01,23.42256379,10.96794353,247.0005203,1500.724488,224432.2913,8.296258065,0.990612823
1997-07-01,23.33802891,10.41697824,248.6091151,1511.83477,229652.173,6.566943164,0.980776951
1997-10-01,23.31111436,10.44280915,253.3543635,1494.096721,221728.7216,12.13962992,0.975156453
1998-01-01,23.93513727,10.37241317,261.635566,1581.496711,223394.7229,5.587682908,0.906256861
1998-04-01,23.96087841,9.830074617,274.9289323,1549.288642,232586.8741,11.38924149,0.898353458
1998-07-01,24.01034505,9.167058622,269.4348074,1546.321276,226351.7516,11.11999225,0.897036224
1998-10-01,23.94720817,9.154840843,272.4002762,1602.648806,232166.6514,11.17170543,0.898353458
1999-01-01,24.33265762,8.394213591,275.1969632,1626.280937,234007.859,16.7781303,0.878776713
1999-04-01,24.52082712,7.229229272,270.3835579,1544.077953,227579.5695,14.75083969,0.878776713
1999-07-01,24.71812445,6.761873118,270.9364151,1592.459378,239536.5445,20.45291375,0.877474822
1999-10-01,24.89930914,7.091144508,272.7716684,1637.856649,236876.027,11.2077812,0.895701302
2000-01-01,25.19961078,5.296098862,269.9484637,1662.188408,247652.0737,17.09539364,1.033792872
2000-04-01,25.46764907,4.703745365,273.7233611,1673.059228,257154.3551,15.2455157,1.067047747
2000-07-01,25.7190464,4.677561023,265.9365591,1647.268559,259193.5318,21.9618562,1.097410894
2000-10-01,25.86821647,4.772032186,265.2130512,1638.049817,264550.0394,17.48892909,1.106086079
2001-01-01,25.85507201,5.262632197,269.9460482,1628.493797,277727.9306,22.92172169,1.09792018
2001-04-01,25.83300258,5.38206069,266.2274634,1594.143171,292341.014,15.74071513,1.070472175
2001-07-01,25.84908165,5.158777302,247.0364885,1517.357181,290702.1642,18.56242084,1.061804384
2001-10-01,25.17329778,5.565582042,225.4877849,1416.004533,298728.8912,36.58598999,1.058915121
2002-01-01,25.78971477,5.521653006,247.7129229,1523.957969,296479.6,27.56054878,1.219188843
2002-04-01,26.08512289,4.712834169,254.6569393,1599.324965,310403.9325,38.30207095,1.249951908
2002-07-01,26.22929925,3.97848768,251.4017785,1574.444395,335055.4776,19.44437677,1.280714973
2002-10-01,26.34518524,4.039162679,252.1256474,1637.3029,353060.9899,29.97946522,1.306620712
2003-01-01,26.98279997,4.197776842,245.0185502,1585.276849,357678.1967,21.04396992,1.282970474
2003-04-01,26.99256158,4.3916832,240.3955447,1660.740196,360376.6958,23.41872689,1.309503927
2003-07-01,27.09376827,4.259905816,246.5123459,1710.161029,371146.3234,28.90344769,1.320429466
2003-10-01,27.30243368,4.062369133,243.9405441,1675.576429,385798.7841,25.68074084,1.321990257
2004-01-01,27.69481732,3.812928756,250.3267598,1729.210564,436235.9259,15.30715078,1.268696884
2004-04-01,27.93084016,3.456222954,255.3652896,1774.536479,479081.5821,21.5308233,1.306232295
2004-07-01,28.23669429,3.43007527,256.7034686,1767.362167,510783.8005,24.36475978,1.334759207
2004-10-01,28.55810883,3.461550792,258.5257915,1740.194353,553898.6916,18.79744743,1.382804533
2005-01-01,28.44811438,3.09692994,266.0815608,1765.619171,579494.8306,75.40317035,1.402519332
2005-04-01,28.73200194,2.820671318,261.8172246,1737.886573,609599.1724,49.80939884,1.46138688
2005-07-01,29.03143815,2.698637735,281.8433328,1850.748623,646701.1319,23.67832509,1.502594163
2005-10-01,29.12668647,2.775916069,280.4052931,1818.498661,671704.8651,18.40849472,1.533499626
2006-01-01,29.41426139,2.808389323,288.1596494,1887.480889,689911.3328,15.41436402,1.694547114
2006-04-01,29.62901342,2.70645128,293.5702518,1891.586779,680938.9636,37.3911397,1.725036124
2006-07-01,29.81856672,2.592512852,305.1221578,1955.424282,681160.981,47.39718576,1.777990722
2006-10-01,29.86775169,2.214949934,317.2800743,1961.587062,659988.7226,23.9529577,1.837364058
2007-01-01,30.30688951,2.485722027,323.3379077,1966.206981,645278.0848,28.74583702,1.853313446
2007-04-01,30.3688477,2.514017006,325.1474254,2058.752163,647782.6962,20.06187107,1.882271468
2007-07-01,30.38401743,2.600232206,330.6276865,2063.188685,628839.4194,49.56188233,1.901576817
2007-10-01,30.42046768,3.167065593,319.9319333,2052.989819,625599.7995,31.01794127,1.911229491
2008-01-01,30.34797119,3.38024199,299.2898184,1976.798573,640007.3772,36.97959184,2.096224961
2008-04-01,30.15223616,3.831059749,259.7418052,1841.970175,634539.0847,42.4085863,2.048382126
2008-07-01,29.76500095,4.703560679,234.847538,1711.536163,587527.1907,40.60839755,1.995223421
2008-10-01,29.24374888,7.518567527,236.7688385,1741.909624,560843.0141,7.534471179,1.911941448
2009-01-01,27.94797572,9.884998093,231.6399189,1679.070972,489370.7007,63.69481288,1.717352083
2009-04-01,27.59466341,10.30635461,233.2899089,1746.246009,473647.4334,10.43125858,1.62081454
2009-07-01,27.37126962,9.667763243,236.0021401,1737.007171,484135.1298,16.38722799,1.546294331
2009-10-01,27.21370919,9.260652882,227.1801739,1668.990402,483108.4029,7.952076986,1.500566021
2010-01-01,27.55896361,8.922573465,231.3841668,1679.238042,487828.6858,7.40923907,1.593771626
2010-04-01,27.57023295,8.7682049,237.7485914,1771.016253,469970.6168,5.773510541,1.572087659
2010-07-01,27.64913787,8.631944676,246.367932,1851.704536,511373.6464,9.756349133,1.543175702
2010-10-01,27.84526714,8.743602796,249.2231489,1832.741951,501827.051,7.734117937,1.564859669
2011-01-01,27.64445537,8.663411133,251.0254567,1881.269958,486625.4185,7.596906359,1.3359375
2011-04-01,27.64805115,8.85524962,245.895505,1859.275984,479008.7969,7.304433938,1.3484375
2011-07-01,27.82817001,8.671980475,252.4589168,1899.077262,462539.802,5.211988941,1.365625
2011-10-01,27.96890118,8.559162552,262.1196655,1977.646436,468825.9825,6.211088884,1.3515625
2012-01-01,27.76847051,8.23826587,266.9311804,2024.736337,484844.6558,6.224110466,1.290167186
2012-04-01,28.16056181,7.837489295,264.4215458,2001.157398,473126.7263,8.237669685,1.294616039
2012-07-01,28.37187525,6.87528675,270.6408755,2028.337727,468062.1542,12.72409669,1.310928497
2012-10-01,28.52617829,6.252750534,282.6873758,2116.257325,470633.1304,7.25181726,1.340587513
2013-01-01,28.77732634,5.988986907,280.8435401,2099.810124,494113.1659,6.329368224,1.329053631
2013-04-01,29.0182052,5.57737964,280.7538469,2131.357548,513543.7829,8.270146534,1.346351509
2013-07-01,29.19290371,5.365763989,278.4251436,2152.398921,527516.1,9.906115607,1.346351509
2013-10-01,29.33675613,5.634777429,274.3317152,2113.340461,543460.2845,10.41734713,1.349234488
2014-01-01,29.40231206,5.352702262,279.8334394,2152.66525,517221.4945,6.114896472,1.279138557
2014-04-01,29.50381598,4.960228542,273.8162893,2119.848464,524508.1634,10.79736228,1.295433316
2014-07-01,29.62288792,4.715558033,280.0386338,2148.262009,545259.3015,10.04387801,1.321233351
2014-10-01,29.67344311,4.441159392,286.2845284,2169.690051,601844.3739,12.16558461,1.336170213
2015-01-01,29.78250071,4.423372578,291.1720988,2205.025166,633064.6434,6.8794208,1.422738833
2015-04-01,29.92815354,4.112538898,297.3897825,2245.930142,637725.4621,12.81141292,1.480281354
2015-07-01,30.1092396,3.84674981,289.968572,2206.688088,631929.3181,10.59157964,1.527753934
2015-10-01,30.23840076,3.75331493,295.2215809,2249.918578,621863.9096,8.415637841,1.601120649
2016-01-01,30.19345717,3.559223285,290.1676954,2232.340897,611871.7566,7.879375072,1.716111968
2016-04-01,30.23574642,3.342627742,293.2302183,2268.37945,620482.8948,15.64912731,1.707119242
2016-07-01,30.45408048,3.10874249,297.1032643,2277.350995,633305.7337,14.08713016,1.702622879
2016-10-01,30.553012,3.218840559,306.7676208,2302.158639,647672.615,12.12656418,1.690632577
2017-01-01,30.27984365,2.952448634,301.4527074,2288.065216,662249.4766,10.40871288,1.75375987
2017-04-01,30.50321953,2.942331404,320.8581995,2455.535895,656484.5338,10.29645189,1.75375987
2017-07-01,30.73792795,2.374096528,321.4649429,2424.736682,666030.3072,18.56513602,1.747502029
2017-10-01,30.75790592,2.005558334,333.0272603,,661610.6824,,1.810080437